"filename", "language", "JSON", "CSV", "Markdown", "Python", "PostCSS", "JavaScript JSX", "JavaScript", "HTML", "XML", "C++", "Properties", "reStructuredText", "Makefile", "CMake", "C", "Shell Script", "pip requirements", "MS SQL", "comment", "blank", "total"
"c:\Users\dkreh\Desktop\KDT_RE_5th\0_git\ReadME.md", "Markdown", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 29
"c:\Users\dkreh\Desktop\KDT_RE_5th\10_DB\01_sql기초.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 12, 30, 171
"c:\Users\dkreh\Desktop\KDT_RE_5th\10_DB\02_DML.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 28, 52, 210
"c:\Users\dkreh\Desktop\KDT_RE_5th\10_DB\03_JOIN.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 15, 23, 175
"c:\Users\dkreh\Desktop\KDT_RE_5th\10_DB\04_python_conn.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 1, 4, 30
"c:\Users\dkreh\Desktop\KDT_RE_5th\10_DB\DDL\create.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 12, 30, 171
"c:\Users\dkreh\Desktop\KDT_RE_5th\10_DB\app\db.py", "Python", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\dkreh\Desktop\KDT_RE_5th\10_DB\app\main.py", "Python", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 15
"c:\Users\dkreh\Desktop\KDT_RE_5th\10_DB\app\routers\user.py", "Python", 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 26, 186
"c:\Users\dkreh\Desktop\KDT_RE_5th\10_DB\app\schemas\user.py", "Python", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\dkreh\Desktop\KDT_RE_5th\10_DB\python\crud.py", "Python", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 25, 107
"c:\Users\dkreh\Desktop\KDT_RE_5th\10_DB\python\crud_practice.py", "Python", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 40, 181
"c:\Users\dkreh\Desktop\KDT_RE_5th\10_DB\python\python)db.py", "Python", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 39
"c:\Users\dkreh\Desktop\KDT_RE_5th\1_renewable_energy\ESG_.md", "Markdown", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 90
"c:\Users\dkreh\Desktop\KDT_RE_5th\1_renewable_energy\renewable_energy_wind_generator.md", "Markdown", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 71
"c:\Users\dkreh\Desktop\KDT_RE_5th\1_renewable_energy\research_CBAM.md", "Markdown", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18
